date,symbol,close
2025-01-02,ASSET_A,10.00
2025-01-02,ASSET_B,20.00
2025-01-02,ASSET_C,5.00
2025-01-02,BENCH,100.00
2025-01-03,ASSET_A,10.10
2025-01-03,ASSET_B,20.00
2025-01-03,ASSET_C,5.01
2025-01-03,BENCH,100.50
2025-01-06,ASSET_A,10.20
2025-01-06,ASSET_B,19.90
2025-01-06,ASSET_C,5.02
2025-01-06,BENCH,100.80
2025-01-07,ASSET_A,10.00
2025-01-07,ASSET_B,20.10
2025-01-07,ASSET_C,5.03
2025-01-07,BENCH,100.40
2025-01-08,ASSET_A,9.80
2025-01-08,ASSET_B,20.20
2025-01-08,ASSET_C,5.04
2025-01-08,BENCH,99.90
2025-01-09,ASSET_A,9.90
2025-01-09,ASSET_B,20.40
2025-01-09,ASSET_C,5.05
2025-01-09,BENCH,100.20
2025-01-10,ASSET_A,10.10
2025-01-10,ASSET_B,20.30
2025-01-10,ASSET_C,5.06
2025-01-10,BENCH,100.70
2025-01-13,ASSET_A,10.30
2025-01-13,ASSET_B,20.50
2025-01-13,ASSET_C,5.08
2025-01-13,BENCH,101.20
2025-01-14,ASSET_A,10.20
2025-01-14,ASSET_B,20.60
2025-01-14,ASSET_C,5.07
2025-01-14,BENCH,101.00
2025-01-15,ASSET_A,10.40
2025-01-15,ASSET_B,20.70
2025-01-15,ASSET_C,5.09
2025-01-15,BENCH,101.50
2025-01-16,ASSET_A,10.50
2025-01-16,ASSET_B,20.80
2025-01-16,ASSET_C,5.10
2025-01-16,BENCH,101.80
2025-01-17,ASSET_A,10.60
2025-01-17,ASSET_B,21.00
2025-01-17,ASSET_C,5.12
2025-01-17,BENCH,102.20

